idstatefrom,idaction,idstateto,probability,reward
0,0,25,0.9,0.0
0,0,5,0.03333333333333333,-1.0
0,0,25,0.03333333333333333,0.0
0,0,1,0.03333333333333333,-1.0
0,1,5,0.9,-1.0
0,1,25,0.03333333333333333,0.0
0,1,25,0.03333333333333333,0.0
0,1,1,0.03333333333333333,-1.0
0,2,25,0.9,0.0
0,2,25,0.03333333333333333,0.0
0,2,5,0.03333333333333333,-1.0
0,2,1,0.03333333333333333,-1.0
0,3,1,0.9,-1.0
0,3,25,0.03333333333333333,0.0
0,3,5,0.03333333333333333,-1.0
0,3,25,0.03333333333333333,0.0
1,0,25,0.9,0.0
1,0,6,0.03333333333333333,-1.0
1,0,0,0.03333333333333333,-1.0
1,0,2,0.03333333333333333,-1.0
1,1,6,0.9,-1.0
1,1,25,0.03333333333333333,0.0
1,1,0,0.03333333333333333,-1.0
1,1,2,0.03333333333333333,-1.0
1,2,0,0.9,-1.0
1,2,25,0.03333333333333333,0.0
1,2,6,0.03333333333333333,-1.0
1,2,2,0.03333333333333333,-1.0
1,3,2,0.9,-1.0
1,3,25,0.03333333333333333,0.0
1,3,6,0.03333333333333333,-1.0
1,3,0,0.03333333333333333,-1.0
2,0,25,0.9,0.0
2,0,7,0.03333333333333333,-1.0
2,0,1,0.03333333333333333,-1.0
2,0,3,0.03333333333333333,-1.0
2,1,7,0.9,-1.0
2,1,25,0.03333333333333333,0.0
2,1,1,0.03333333333333333,-1.0
2,1,3,0.03333333333333333,-1.0
2,2,1,0.9,-1.0
2,2,25,0.03333333333333333,0.0
2,2,7,0.03333333333333333,-1.0
2,2,3,0.03333333333333333,-1.0
2,3,3,0.9,-1.0
2,3,25,0.03333333333333333,0.0
2,3,7,0.03333333333333333,-1.0
2,3,1,0.03333333333333333,-1.0
3,0,25,0.9,0.0
3,0,8,0.03333333333333333,-1.0
3,0,2,0.03333333333333333,-1.0
3,0,4,0.03333333333333333,-1.0
3,1,8,0.9,-1.0
3,1,25,0.03333333333333333,0.0
3,1,2,0.03333333333333333,-1.0
3,1,4,0.03333333333333333,-1.0
3,2,2,0.9,-1.0
3,2,25,0.03333333333333333,0.0
3,2,8,0.03333333333333333,-1.0
3,2,4,0.03333333333333333,-1.0
3,3,4,0.9,-1.0
3,3,25,0.03333333333333333,0.0
3,3,8,0.03333333333333333,-1.0
3,3,2,0.03333333333333333,-1.0
4,0,25,0.9,0.0
4,0,9,0.03333333333333333,-1.0
4,0,3,0.03333333333333333,-1.0
4,0,25,0.03333333333333333,0.0
4,1,9,0.9,-1.0
4,1,25,0.03333333333333333,0.0
4,1,3,0.03333333333333333,-1.0
4,1,25,0.03333333333333333,0.0
4,2,3,0.9,-1.0
4,2,25,0.03333333333333333,0.0
4,2,9,0.03333333333333333,-1.0
4,2,25,0.03333333333333333,0.0
4,3,25,0.9,0.0
4,3,25,0.03333333333333333,0.0
4,3,9,0.03333333333333333,-1.0
4,3,3,0.03333333333333333,-1.0
5,0,0,0.9,-1.0
5,0,10,0.03333333333333333,-1.0
5,0,25,0.03333333333333333,0.0
5,0,6,0.03333333333333333,-1.0
5,1,10,0.9,-1.0
5,1,0,0.03333333333333333,-1.0
5,1,25,0.03333333333333333,0.0
5,1,6,0.03333333333333333,-1.0
5,2,25,0.9,0.0
5,2,0,0.03333333333333333,-1.0
5,2,10,0.03333333333333333,-1.0
5,2,6,0.03333333333333333,-1.0
5,3,6,0.9,-1.0
5,3,0,0.03333333333333333,-1.0
5,3,10,0.03333333333333333,-1.0
5,3,25,0.03333333333333333,0.0
6,0,1,0.9,-1.0
6,0,11,0.03333333333333333,-1.0
6,0,5,0.03333333333333333,-1.0
6,0,7,0.03333333333333333,-1.0
6,1,11,0.9,-1.0
6,1,1,0.03333333333333333,-1.0
6,1,5,0.03333333333333333,-1.0
6,1,7,0.03333333333333333,-1.0
6,2,5,0.9,-1.0
6,2,1,0.03333333333333333,-1.0
6,2,11,0.03333333333333333,-1.0
6,2,7,0.03333333333333333,-1.0
6,3,7,0.9,-1.0
6,3,1,0.03333333333333333,-1.0
6,3,11,0.03333333333333333,-1.0
6,3,5,0.03333333333333333,-1.0
7,0,2,0.9,-1.0
7,0,12,0.03333333333333333,-1.0
7,0,6,0.03333333333333333,-1.0
7,0,8,0.03333333333333333,-1.0
7,1,12,0.9,-1.0
7,1,2,0.03333333333333333,-1.0
7,1,6,0.03333333333333333,-1.0
7,1,8,0.03333333333333333,-1.0
7,2,6,0.9,-1.0
7,2,2,0.03333333333333333,-1.0
7,2,12,0.03333333333333333,-1.0
7,2,8,0.03333333333333333,-1.0
7,3,8,0.9,-1.0
7,3,2,0.03333333333333333,-1.0
7,3,12,0.03333333333333333,-1.0
7,3,6,0.03333333333333333,-1.0
8,0,3,0.9,-1.0
8,0,13,0.03333333333333333,-1.0
8,0,7,0.03333333333333333,-1.0
8,0,9,0.03333333333333333,-1.0
8,1,13,0.9,-1.0
8,1,3,0.03333333333333333,-1.0
8,1,7,0.03333333333333333,-1.0
8,1,9,0.03333333333333333,-1.0
8,2,7,0.9,-1.0
8,2,3,0.03333333333333333,-1.0
8,2,13,0.03333333333333333,-1.0
8,2,9,0.03333333333333333,-1.0
8,3,9,0.9,-1.0
8,3,3,0.03333333333333333,-1.0
8,3,13,0.03333333333333333,-1.0
8,3,7,0.03333333333333333,-1.0
9,0,4,0.9,-1.0
9,0,14,0.03333333333333333,-1.0
9,0,8,0.03333333333333333,-1.0
9,0,25,0.03333333333333333,0.0
9,1,14,0.9,-1.0
9,1,4,0.03333333333333333,-1.0
9,1,8,0.03333333333333333,-1.0
9,1,25,0.03333333333333333,0.0
9,2,8,0.9,-1.0
9,2,4,0.03333333333333333,-1.0
9,2,14,0.03333333333333333,-1.0
9,2,25,0.03333333333333333,0.0
9,3,25,0.9,0.0
9,3,4,0.03333333333333333,-1.0
9,3,14,0.03333333333333333,-1.0
9,3,8,0.03333333333333333,-1.0
10,0,5,0.9,-1.0
10,0,15,0.03333333333333333,-1.0
10,0,25,0.03333333333333333,0.0
10,0,11,0.03333333333333333,-1.0
10,1,15,0.9,-1.0
10,1,5,0.03333333333333333,-1.0
10,1,25,0.03333333333333333,0.0
10,1,11,0.03333333333333333,-1.0
10,2,25,0.9,0.0
10,2,5,0.03333333333333333,-1.0
10,2,15,0.03333333333333333,-1.0
10,2,11,0.03333333333333333,-1.0
10,3,11,0.9,-1.0
10,3,5,0.03333333333333333,-1.0
10,3,15,0.03333333333333333,-1.0
10,3,25,0.03333333333333333,0.0
11,0,6,0.9,-1.0
11,0,16,0.03333333333333333,-1.0
11,0,10,0.03333333333333333,-1.0
11,0,12,0.03333333333333333,-1.0
11,1,16,0.9,-1.0
11,1,6,0.03333333333333333,-1.0
11,1,10,0.03333333333333333,-1.0
11,1,12,0.03333333333333333,-1.0
11,2,10,0.9,-1.0
11,2,6,0.03333333333333333,-1.0
